Code;datum;maand;mndnr
IN007534;03-02-2021;02-2021;02
IN007535;03-02-2021;02-2021;02
IN007536;03-02-2021;02-2021;02
IN007537;03-02-2021;02-2021;02
IN007538;03-02-2021;02-2021;02
IN007539;03-02-2021;02-2021;02
IN007540;03-02-2021;02-2021;02
IN007541;04-02-2021;02-2021;02
IN007542;04-02-2021;02-2021;02
IN007543;04-02-2021;02-2021;02
IN007544;04-02-2021;02-2021;02
IN007545;04-02-2021;02-2021;02
IN007546;04-02-2021;02-2021;02
IN007547;04-02-2021;02-2021;02
IN007548;04-02-2021;02-2021;02
IN007549;04-02-2021;02-2021;02
IN007550;04-02-2021;02-2021;02
IN007551;04-02-2021;02-2021;02
IN007552;04-02-2021;02-2021;02
IN007553;04-02-2021;02-2021;02
IN007554;04-02-2021;02-2021;02
IN007555;04-02-2021;02-2021;02
IN007556;04-02-2021;02-2021;02
IN007557;04-02-2021;02-2021;02
IN007558;04-02-2021;02-2021;02
IN007559;04-02-2021;02-2021;02
IN007560;04-02-2021;02-2021;02
IN007561;04-02-2021;02-2021;02
IN007562;04-02-2021;02-2021;02
IN007563;04-02-2021;02-2021;02
IN007564;04-02-2021;02-2021;02
IN007565;04-02-2021;02-2021;02
IN007566;04-02-2021;02-2021;02
IN007567;04-02-2021;02-2021;02
IN007568;04-02-2021;02-2021;02
IN007569;04-02-2021;02-2021;02
IN007570;04-02-2021;02-2021;02
IN007571;04-02-2021;02-2021;02
IN007572;04-02-2021;02-2021;02
IN007573;04-02-2021;02-2021;02
IN007574;04-02-2021;02-2021;02
IN007575;04-02-2021;02-2021;02
IN007576;04-02-2021;02-2021;02
IN007577;04-02-2021;02-2021;02
IN007578;04-02-2021;02-2021;02
IN007579;04-02-2021;02-2021;02
IN007580;04-02-2021;02-2021;02
IN007581;04-02-2021;02-2021;02
IN007582;04-02-2021;02-2021;02
IN007583;04-02-2021;02-2021;02
IN007584;04-02-2021;02-2021;02
IN007585;04-02-2021;02-2021;02
IN007586;04-02-2021;02-2021;02
IN007587;04-02-2021;02-2021;02
IN007588;04-02-2021;02-2021;02
IN007589;04-02-2021;02-2021;02
IN007590;04-02-2021;02-2021;02
IN007591;04-02-2021;02-2021;02
IN007592;04-02-2021;02-2021;02
IN007593;04-02-2021;02-2021;02
IN007594;04-02-2021;02-2021;02
IN007595;04-02-2021;02-2021;02
IN007596;04-02-2021;02-2021;02
IN007597;04-02-2021;02-2021;02
IN007598;04-02-2021;02-2021;02
IN007599;04-02-2021;02-2021;02
IN007600;04-02-2021;02-2021;02
IN007601;04-02-2021;02-2021;02
IN007602;04-02-2021;02-2021;02
IN007603;04-02-2021;02-2021;02
IN007604;04-02-2021;02-2021;02
IN007605;04-02-2021;02-2021;02
IN007606;04-02-2021;02-2021;02
IN007607;04-02-2021;02-2021;02
IN007608;04-02-2021;02-2021;02
IN007609;04-02-2021;02-2021;02
IN007610;04-02-2021;02-2021;02
IN007611;04-02-2021;02-2021;02
IN007612;04-02-2021;02-2021;02
IN007613;04-02-2021;02-2021;02
IN007614;04-02-2021;02-2021;02
IN007615;04-02-2021;02-2021;02
IN007616;04-02-2021;02-2021;02
IN007617;04-02-2021;02-2021;02
IN007618;04-02-2021;02-2021;02
IN007619;04-02-2021;02-2021;02
IN007620;04-02-2021;02-2021;02
IN007621;05-02-2021;02-2021;02
IN007622;05-02-2021;02-2021;02
IN007623;05-02-2021;02-2021;02
IN007624;05-02-2021;02-2021;02
IN007625;05-02-2021;02-2021;02
IN007626;05-02-2021;02-2021;02
IN007627;05-02-2021;02-2021;02
IN007628;05-02-2021;02-2021;02
IN007629;05-02-2021;02-2021;02
IN007630;05-02-2021;02-2021;02
IN007631;05-02-2021;02-2021;02
IN007632;05-02-2021;02-2021;02
IN007633;05-02-2021;02-2021;02
IN007634;05-02-2021;02-2021;02
IN007635;05-02-2021;02-2021;02
IN007636;05-02-2021;02-2021;02
IN007637;05-02-2021;02-2021;02
IN007638;05-02-2021;02-2021;02
IN007639;05-02-2021;02-2021;02
